mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837369,121.09805,31.787527,2019-06-12 19:26:00,0.0,511.0,8.7,15
413837369,121.09676,31.78309,2019-06-12 19:32:00,6.3,,192.0,0
413837369,121.09466599999999,31.775959999999998,2019-06-12 19:36:00,6.6,,185.0,0
413837369,121.09348999999999,31.764846999999996,2019-06-12 19:42:00,6.7000003,,184.3,0
413837369,121.093254,31.750785999999998,2019-06-12 19:50:00,6.5,,181.0,0
413837369,121.09222,31.738846000000002,2019-06-12 19:58:00,6.0,511.0,187.0,15
413837369,121.09143999999999,31.726727,2019-06-12 20:06:00,3.5,,200.90001,0
413837369,121.09061399999999,31.725607,2019-06-12 20:10:00,0.0,,218.0,0
