mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413888886,121.09804,31.787585999999997,2019-06-26 08:22:00,0.0,,12.1,0
413888886,121.09721,31.784237,2019-06-26 08:40:00,7.1,,190.8,0
413888886,121.09630600000001,31.777072999999998,2019-06-26 08:44:00,7.7000003,,178.3,0
413888886,121.0962,31.77382,2019-06-26 08:46:00,7.7,511.0,182.3,15
413888886,121.09518,31.76747,2019-06-26 08:48:00,7.7000003,,190.40001,0
413888886,121.094734,31.765359999999998,2019-06-26 08:50:00,7.6,,190.40001,0
413888886,121.0936,31.75998,2019-06-26 08:52:00,7.8,,193.3,0
413888886,121.09248000000001,31.756773,2019-06-26 08:54:00,7.8,,201.6,0
413888886,121.09326999999999,31.750653999999997,2019-06-26 08:56:00,7.9,,149.1,0
413888886,121.09391000000001,31.748617,2019-06-26 08:58:00,7.4,,183.5,0
413888886,121.09333000000001,31.743134,2019-06-26 09:00:00,8.1,,176.1,0
413888886,121.093704,31.737379999999998,2019-06-26 09:02:00,8.2,,180.3,0
413888886,121.09365,31.735096000000002,2019-06-26 09:04:00,8.1,,181.0,0
413888886,121.093346,31.731688000000002,2019-06-26 09:06:00,7.9,,187.90001,0
413888886,121.09024,31.72568,2019-06-26 09:12:00,0.0,,217.2,0
