mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413888886,121.09832,31.787527,2019-06-25 06:42:00,0.0,511.0,356.5,15
413888886,121.09798,31.786314,2019-06-25 06:46:00,5.1,,193.90001,0
413888886,121.09691000000001,31.783756,2019-06-25 06:48:00,7.0,,202.0,0
413888886,121.09456000000002,31.773813,2019-06-25 06:52:00,7.3,,192.8,0
413888886,121.09298999999999,31.765676000000003,2019-06-25 06:56:00,7.5,,185.40001,0
413888886,121.09270500000001,31.756126000000002,2019-06-25 07:00:00,7.7,511.0,180.3,15
413888886,121.09283,31.753014,2019-06-25 07:02:00,7.3,,178.40001,0
413888886,121.0928,31.748959999999997,2019-06-25 07:04:00,7.2000003,,183.8,0
