,time,latitude,longitude,speed,cog,rot,ac
0,36000.0,31.72538,121.09067,0.0,209.7,0.0,0.0
1,39960.0,31.72554,121.09078999999998,0.00532905795833341,198.3,0.6435011087257828,1.345721706649851e-06
2,62400.0,31.725554,121.09078999999998,6.937294890911539e-05,198.3,0.0,-2.3438881503673326e-07
3,82320.0,31.730293,121.093254,0.028924822877115963,8.8,0.4794727825308093,1.448566763464199e-06
4,82560.0,31.738947,121.094345,4.032485074817153,9.0,0.1254072814615067,0.016681501049750153
5,82800.0,31.746113,121.09552,3.3522180693671677,9.8,0.16252252601677422,-0.0028344458560416045
6,83160.0,31.756033,121.09693,3.086337174314586,5.7000003,0.1411913384200032,-0.0007385580418127264
7,83640.0,31.769672,121.09625,3.1623949786621326,344.2,-0.049815778887000534,0.0001584537590573883
8,83880.0,31.77904,121.09572,4.345325898418673,11.900001,-0.05651532980015446,0.004928878832318917
9,84240.0,31.787086,121.097824,2.545863947745483,5.8,0.2557691915776485,-0.004998505418536637
