mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837367,121.09830500000001,31.787385999999998,2019-06-23 02:34:00,2.1000001,14.0,14.3,0
413837367,121.09743999999999,31.78363,2019-06-23 02:44:00,7.0,192.0,192.90001,0
413837367,121.09591,31.778740000000003,2019-06-23 02:46:00,7.2000003,197.0,197.6,0
413837367,121.094894,31.768053000000002,2019-06-23 02:52:00,7.6,181.0,181.3,0
413837367,121.09557,31.760215999999996,2019-06-23 02:56:00,8.0,172.0,172.6,0
413837367,121.09618,31.748990000000003,2019-06-23 03:00:00,7.7000003,183.0,183.90001,0
413837367,121.09596,31.74685,2019-06-23 03:02:00,7.7000003,187.0,187.6,0
413837367,121.09461,31.74032,2019-06-23 03:04:00,7.6,188.0,188.40001,0
413837367,121.09308,31.731820000000003,2019-06-23 03:08:00,7.5,191.0,191.3,0
413837367,121.09066999999999,31.725566999999998,2019-06-23 03:12:00,1.6,225.0,225.3,0
413837367,121.090576,31.72545,2019-06-23 03:22:00,0.1,219.0,219.3,15
