mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413888886,121.09813999999999,31.787616999999997,2019-06-24 07:04:00,0.0,,34.8,0
413888886,121.09702,31.782453999999998,2019-06-24 07:08:00,7.3,,191.0,0
413888886,121.09595,31.778507,2019-06-24 07:10:00,7.5,,188.8,0
413888886,121.09541000000002,31.771946000000003,2019-06-24 07:14:00,7.7000003,,182.90001,0
413888886,121.09235,31.754793,2019-06-24 07:22:00,8.1,,177.0,0
413888886,121.09263999999999,31.746786,2019-06-24 07:24:00,8.3,,169.3,0
413888886,121.09376,31.742313,2019-06-24 07:26:00,8.2,,167.3,0
413888886,121.09427,31.738867,2019-06-24 07:28:00,8.0,,177.7,0
413888886,121.09299999999999,31.729886999999998,2019-06-24 07:32:00,8.0,,188.2,0
413888886,121.0928,31.7288,2019-06-24 07:34:00,7.8,,190.8,0
413888886,121.09088,31.72632,2019-06-24 07:36:00,3.5,,223.40001,0
413888886,121.09026000000001,31.725746,2019-06-24 07:40:00,0.0,,212.3,0
