mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837369,121.09828,31.787487,2019-06-24 12:20:00,0.0,,23.9,0
413837369,121.09696000000001,31.783846,2019-06-24 12:26:00,6.3,,196.0,0
413837369,121.09585600000001,31.774735999999997,2019-06-24 12:30:00,7.6,,167.0,0
413837369,121.09766,31.7622,2019-06-24 12:36:00,7.7000003,,177.6,0
413837369,121.097824,31.755553999999997,2019-06-24 12:40:00,7.9,,179.8,0
413837369,121.0964,31.744476000000002,2019-06-24 12:44:00,8.1,,187.6,0
413837369,121.09331,31.731956,2019-06-24 12:50:00,7.9,,190.90001,0
413837369,121.090546,31.725620000000003,2019-06-24 12:56:00,0.0,511.0,232.9,15
