mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837369,121.09853000000001,31.787527,2019-06-09 07:54:00,0.0,,16.4,0
413837369,121.09601599999999,31.780407,2019-06-09 08:00:00,7.8,511.0,193.5,15
413837369,121.09496000000001,31.77122,2019-06-09 08:04:00,8.0,,181.2,0
413837369,121.09449,31.753607000000002,2019-06-09 08:12:00,8.2,,179.90001,0
413837369,121.09409,31.745246999999996,2019-06-09 08:16:00,8.5,,184.90001,0
413837369,121.093414,31.736834,2019-06-09 08:20:00,8.6,,184.7,0
413837369,121.09181000000001,31.72737,2019-06-09 08:24:00,7.2000003,511.0,196.7,15
