mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837369,121.09806999999999,31.787596,2019-06-13 12:22:00,0.0,,13.1,0
413837369,121.09532,31.7688,2019-06-13 12:38:00,7.5,,185.2,0
413837369,121.09493,31.763006,2019-06-13 12:42:00,7.5,,181.2,0
413837369,121.09496999999999,31.748684,2019-06-13 12:50:00,5.2,511.0,211.3,15
413837369,121.09189599999999,31.744946999999996,2019-06-13 12:56:00,6.1,,227.2,0
413837369,121.09181000000001,31.730746999999997,2019-06-13 13:04:00,7.8,,176.3,0
413837369,121.09103,31.72594,2019-06-13 13:08:00,3.7,,209.5,0
