mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837367,121.096,31.76026,2019-06-19 14:06:00,7.4,173.0,173.3,0
413837367,121.0972,31.75615,2019-06-19 14:08:00,7.5,162.0,162.7,0
413837367,121.0985,31.748707,2019-06-19 14:10:00,8.0,187.0,187.90001,0
413837367,121.09749599999999,31.744257,2019-06-19 14:12:00,8.1,193.0,193.40001,0
413837367,121.09476000000001,31.735706,2019-06-19 14:16:00,7.9,202.0,202.5,15
413837367,121.09253999999999,31.729233,2019-06-19 14:20:00,2.9,163.0,162.90001,0
413837367,121.09103999999999,31.726833000000003,2019-06-19 14:24:00,4.6,213.0,213.6,0
413837367,121.09015,31.7258,2019-06-19 14:28:00,0.0,227.0,227.7,0
