mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413888886,121.09785500000001,31.78752,2019-06-22 22:12:00,0.0,,356.4,0
413888886,121.097824,31.786747,2019-06-22 22:16:00,4.2000003,,182.5,0
413888886,121.09700000000001,31.78355,2019-06-22 22:18:00,6.5,,199.0,0
413888886,121.09626999999999,31.781813,2019-06-22 22:20:00,6.7000003,,200.1,0
413888886,121.09506999999999,31.774637,2019-06-22 22:22:00,8.0,,178.3,0
413888886,121.095146,31.76932,2019-06-22 22:26:00,7.3,,175.8,0
413888886,121.09586000000002,31.762966,2019-06-22 22:28:00,7.9,,170.5,0
413888886,121.09633999999998,31.76078,2019-06-22 22:30:00,8.2,,168.5,0
413888886,121.09773,31.753407,2019-06-22 22:32:00,8.7,,176.90001,0
413888886,121.097626,31.749928000000004,2019-06-22 22:34:00,8.3,,180.3,0
413888886,121.09595,31.738287,2019-06-22 22:38:00,8.3,,190.90001,0
413888886,121.09475,31.733846999999997,2019-06-22 22:40:00,7.9,,196.3,0
413888886,121.09376,31.730644,2019-06-22 22:42:00,7.7,511.0,197.3,15
