mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837367,121.09836999999999,31.78756,2019-06-20 06:32:00,0.0,0.0,0.1,0
413837367,121.096,31.777472999999997,2019-06-20 06:42:00,8.8,173.0,172.8,0
413837367,121.09671999999999,31.775059999999996,2019-06-20 06:44:00,9.2,160.0,159.8,0
413837367,121.09916000000001,31.766203000000004,2019-06-20 06:46:00,4.3,177.0,177.2,15
413837367,121.09919,31.765154,2019-06-20 06:48:00,8.7,178.0,179.0,0
413837367,121.09876000000001,31.760346999999996,2019-06-20 06:50:00,8.6,188.0,187.6,0
413837367,121.09836999999999,31.751493,2019-06-20 06:52:00,9.2,181.0,181.1,0
413837367,121.09821000000001,31.748753000000004,2019-06-20 06:54:00,9.3,182.0,182.2,0
413837367,121.09755,31.743646999999996,2019-06-20 06:56:00,9.2,190.0,190.7,0
413837367,121.09625,31.737240000000003,2019-06-20 06:58:00,9.3,189.0,189.2,0
413837367,121.095505,31.734779999999997,2019-06-20 07:00:00,8.900001,198.0,198.6,0
413837367,121.09238,31.728053999999997,2019-06-20 07:02:00,8.2,203.0,202.8,15
413837367,121.09095,31.725873999999997,2019-06-20 07:04:00,3.3,220.0,220.1,0
