mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837369,121.09808000000001,31.78752,2019-06-03 23:46:00,1.1,,12.7,0
413837369,121.096855,31.783520000000003,2019-06-03 23:56:00,6.8,511.0,192.1,15
413837369,121.09548000000001,31.77794,2019-06-04 00:00:00,6.5,,194.2,0
413837369,121.09431000000001,31.769586999999998,2019-06-04 00:04:00,5.9,,174.6,0
413837369,121.09326999999999,31.76158,2019-06-04 00:10:00,6.2000003,,183.3,0
413837369,121.09338000000001,31.75348,2019-06-04 00:14:00,6.7,511.0,177.0,15
413837369,121.09201000000002,31.74755,2019-06-04 00:18:00,5.1,,193.6,0
413837369,121.089584,31.740307,2019-06-04 00:22:00,5.7000003,,180.40001,0
413837369,121.09008,31.736437,2019-06-04 00:26:00,5.7000003,,172.5,0
413837369,121.09145,31.728292,2019-06-04 00:30:00,5.1,511.0,185.1,15
413837369,121.09083000000001,31.725759999999998,2019-06-04 00:42:00,3.5,,44.3,0
