mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09803000000001,31.755627,2019-06-25 16:48:00,6.7000003,175,168.40001,0
413812193,121.09792,31.753006,2019-06-25 16:50:00,6.4,188,186.2,0
413812193,121.095665,31.740932,2019-06-25 16:56:00,6.4,189,189.5,0
413812193,121.094025,31.737586999999998,2019-06-25 16:58:00,6.5,204,201.0,0
413812193,121.09251,31.734327,2019-06-25 17:00:00,6.0,187,187.5,0
413812193,121.09227,31.731440000000003,2019-06-25 17:02:00,6.0,185,181.0,0
413812193,121.09209399999999,31.729206,2019-06-25 17:04:00,6.1,185,188.2,15
413812193,121.09051000000001,31.725533000000002,2019-06-25 17:10:00,0.1,27,300.5,0
