,time,latitude,longitude,speed,cog,rot,ac
0,24600.0,31.727394,121.0924,7.2000003,210.90001,0.0,0.0
1,25440.0,31.728992,121.09199,0.21651349219048857,15.900001,-0.2511532391707914,0.0002577541573696293
2,25680.0,31.73851,121.09425,4.498828686959915,14.2,0.23312758651989224,0.017842979978205945
3,25920.0,31.746126,121.09597,3.5930757339059594,11.0,0.22211414228877666,-0.0037739706377248163
4,26160.0,31.752340000000004,121.09702,2.908590626315621,10.900001,0.16739211289632955,-0.0028520212816264103
5,26400.0,31.758368,121.09859,2.860514565105507,8.8,0.2547906681427445,-0.0002003169217088078
6,26760.0,31.767414,121.09877,2.7944812470456464,347.30002,0.019895672021628088,-0.000183425883499613
7,27000.0,31.77392,121.09673,3.1195722398212533,333.6,-0.3038472814616762,0.0013545458032316955
8,27240.0,31.7799,121.09593,2.788466457523522,13.8,-0.13298964836908128,-0.0013796074262405478
9,27960.0,31.787474,121.09804,1.2020592134398365,6.3,0.27169575067663404,-0.002203343394560674
