mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413888886,121.09076,31.725786,2019-06-21 00:36:00,2.3,,225.3,0
413888886,121.09283,31.733128000000004,2019-06-21 00:46:00,7.1,,358.30002,0
413888886,121.09173600000001,31.741497,2019-06-21 00:50:00,6.4,,358.30002,0
413888886,121.09189599999999,31.74505,2019-06-21 00:52:00,6.4,511.0,5.7,15
413888886,121.09268,31.747513,2019-06-21 00:54:00,6.2000003,,14.400001000000001,0
413888886,121.09365,31.750035999999998,2019-06-21 00:56:00,6.3,,29.0,0
413888886,121.09445,31.755194,2019-06-21 00:58:00,6.4,,352.6,0
413888886,121.09445,31.756956,2019-06-21 01:00:00,6.0,,4.0,0
413888886,121.094894,31.761967,2019-06-21 01:02:00,6.1,,10.1,0
413888886,121.09544,31.764633,2019-06-21 01:04:00,6.5,,10.6,0
413888886,121.09541000000002,31.76922,2019-06-21 01:06:00,6.7000003,,355.4,0
413888886,121.09481000000001,31.772007000000002,2019-06-21 01:08:00,7.0,511.0,339.8,15
413888886,121.09463000000001,31.776659999999996,2019-06-21 01:10:00,6.8,,8.5,0
413888886,121.09544,31.7804,2019-06-21 01:12:00,6.4,,20.300001,0
413888886,121.09671000000002,31.7829,2019-06-21 01:14:00,6.4,,14.3,0
413888886,121.097305,31.785459999999997,2019-06-21 01:16:00,5.9,,12.3,0
413888886,121.09796000000001,31.787540000000003,2019-06-21 01:18:00,0.90000004,,23.1,0
