mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837369,121.09064,31.72568,2019-06-16 23:08:00,1.7,,222.8,0
413837369,121.09192,31.728379999999998,2019-06-16 23:18:00,7.4,,4.4,0
413837369,121.09261000000001,31.736113,2019-06-16 23:22:00,7.4,,9.0,0
413837369,121.09443999999999,31.745379999999997,2019-06-16 23:26:00,7.9,,5.2000003,0
413837369,121.09493,31.759659999999997,2019-06-16 23:32:00,7.1,,357.30002,0
413837369,121.09353999999999,31.772240000000004,2019-06-16 23:38:00,8.2,511.0,355.3,15
413837369,121.09504,31.779493,2019-06-16 23:42:00,6.9,,20.1,0
413837369,121.09808000000001,31.787653000000002,2019-06-16 23:48:00,0.0,,3.2,0
