mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09052,31.725609999999996,2019-06-23 14:14:00,0.0,43,14.7,0
413812193,121.09101000000001,31.726057,2019-06-23 14:22:00,3.8,46,46.7,0
413812193,121.09238,31.731372999999998,2019-06-23 14:26:00,6.1,1,1.0,0
413812193,121.09168000000001,31.735613,2019-06-23 14:28:00,6.1,358,359.4,0
413812193,121.093704,31.741327000000002,2019-06-23 14:32:00,6.2000003,34,34.2,0
413812193,121.098335,31.750353000000004,2019-06-23 14:38:00,5.9,9,10.0,0
413812193,121.099106,31.755046999999998,2019-06-23 14:40:00,5.4,5,7.1,15
413812193,121.0992,31.757973,2019-06-23 14:42:00,5.2000003,352,353.7,0
413812193,121.09884,31.761757,2019-06-23 14:46:00,5.6,351,351.30002,0
413812193,121.09768000000001,31.768279999999997,2019-06-23 14:50:00,6.1,348,347.9,0
413812193,121.09643999999999,31.771753000000004,2019-06-23 14:52:00,6.4,342,342.7,0
413812193,121.09492,31.77778,2019-06-23 14:54:00,6.4,0,0.2,0
