mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837369,121.09021000000001,31.725834000000003,2019-05-29 11:48:00,0.0,,232.7,0
413837369,121.09178999999999,31.733627000000002,2019-05-29 12:10:00,7.1,,1.8000001,0
413837369,121.09106399999999,31.741373,2019-05-29 12:14:00,6.8,,357.30002,0
413837369,121.09196999999999,31.750973,2019-05-29 12:20:00,7.0,,6.0,0
413837369,121.0924,31.756968,2019-05-29 12:24:00,4.5,,0.8,0
413837369,121.09451999999999,31.773094,2019-05-29 12:32:00,7.4,,21.0,0
413837369,121.0964,31.781754,2019-05-29 12:36:00,6.8,,13.6,0
413837369,121.09785500000001,31.787287,2019-05-29 12:40:00,2.2,,7.6,0
