mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837367,121.0908,31.725527000000003,2019-06-24 20:00:00,0.1,0.0,0.0,0
413837367,121.09167,31.727316,2019-06-24 22:12:00,6.1,11.0,11.4,15
413837367,121.092575,31.7382,2019-06-24 22:18:00,3.0,358.0,358.1,15
413837367,121.093025,31.744047,2019-06-24 22:22:00,6.2000003,1.0,2.0,0
413837367,121.09295,31.748413,2019-06-24 22:24:00,6.2000003,357.0,358.1,0
413837367,121.09306000000001,31.7537,2019-06-24 22:28:00,6.5,4.0,5.2,15
413837367,121.0936,31.759846000000003,2019-06-24 22:30:00,6.0,8.0,8.7,0
413837367,121.09371999999999,31.761507,2019-06-24 22:32:00,6.4,3.0,3.8,0
413837367,121.09423999999999,31.770887,2019-06-24 22:36:00,6.9,6.0,6.8,0
413837367,121.0944,31.771846999999998,2019-06-24 22:38:00,6.9,8.0,8.400001,0
