mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837367,121.09065,31.725586,2019-06-20 11:36:00,0.0,209.0,209.6,0
413837367,121.09279,31.73214,2019-06-20 11:46:00,6.5,3.0,3.5,0
413837367,121.09333000000001,31.735940000000003,2019-06-20 11:48:00,6.8,2.0,1.4,0
413837367,121.09389499999999,31.739607,2019-06-20 11:50:00,6.3,8.0,7.7000003,0
413837367,121.09428,31.750534000000002,2019-06-20 11:58:00,6.1,6.0,6.9,0
413837367,121.09528,31.755653000000002,2019-06-20 12:00:00,6.4,22.0,22.2,15
413837367,121.09756999999999,31.759559999999997,2019-06-20 12:02:00,6.2000003,21.0,21.4,0
413837367,121.09788999999999,31.760406,2019-06-20 12:04:00,6.1,15.0,15.5,0
413837367,121.09723999999999,31.769073,2019-06-20 12:08:00,6.2000003,345.0,345.6,0
413837367,121.095,31.775494000000002,2019-06-20 12:12:00,3.1,343.0,343.1,15
413837367,121.0983,31.787333,2019-06-20 12:20:00,1.5,8.0,8.2,15
