mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09041599999999,31.72584,2019-06-21 20:06:00,2.6000001,218,218.7,0
413812193,121.09188,31.731194,2019-06-21 20:20:00,5.1,3,3.0,0
413812193,121.0922,31.734074,2019-06-21 20:22:00,5.1,5,5.3,0
413812193,121.09215,31.735492999999998,2019-06-21 20:24:00,5.1,357,357.6,0
413812193,121.09163999999998,31.73951,2019-06-21 20:26:00,4.5,341,341.5,0
413812193,121.09163999999998,31.742033000000003,2019-06-21 20:28:00,4.7,18,18.6,15
413812193,121.09284,31.74454,2019-06-21 20:30:00,4.9,20,20.800001,0
413812193,121.09381,31.747296999999996,2019-06-21 20:32:00,5.1,13,13.0,0
413812193,121.094574,31.750093,2019-06-21 20:34:00,5.1,11,12.1,0
413812193,121.095024,31.752226,2019-06-21 20:36:00,5.1,8,8.3,0
413812193,121.09572,31.75497,2019-06-21 20:38:00,5.0,16,16.1,0
413812193,121.096855,31.758253000000003,2019-06-21 20:40:00,5.0,14,14.6,0
413812193,121.09776000000001,31.765486,2019-06-21 20:46:00,5.4,357,357.30002,0
413812193,121.09748,31.768472999999997,2019-06-21 20:48:00,5.3,352,352.6,0
413812193,121.09536000000001,31.775307,2019-06-21 20:52:00,4.9,333,334.0,0
413812193,121.095055,31.775917,2019-06-21 20:54:00,5.0,340,340.80002,0
413812193,121.09581000000001,31.779466999999997,2019-06-21 20:56:00,5.2000003,13,13.7,0
413812193,121.096855,31.783253000000002,2019-06-21 20:58:00,6.1,14,14.1,0
413812193,121.09783999999999,31.786724,2019-06-21 21:00:00,3.5,13,13.6,15
413812193,121.097824,31.787533000000003,2019-06-21 21:02:00,0.2,303,295.80002,0
