mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837369,121.09061399999999,31.72557,2019-06-03 23:04:00,1.0,,225.90001,0
413837369,121.09195,31.73012,2019-06-03 23:18:00,8.1,,3.7,0
413837369,121.0934,31.74263,2019-06-03 23:22:00,7.5,,9.900001,0
413837369,121.09443,31.747172999999997,2019-06-03 23:26:00,4.6,,17.2,0
413837369,121.09603999999999,31.76407,2019-06-03 23:34:00,7.7000003,,359.80002,0
413837369,121.09626999999999,31.781626,2019-06-03 23:42:00,7.1,,17.4,0
413837369,121.09808000000001,31.78752,2019-06-03 23:46:00,1.1,,12.7,0
