mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837369,121.09454,31.735053999999998,2019-06-20 20:12:00,6.7000003,511.0,8.2,15
413837369,121.09584,31.740453999999996,2019-06-20 20:16:00,6.3,,10.5,0
413837369,121.09661000000001,31.747253000000004,2019-06-20 20:20:00,5.3,,353.0,0
413837369,121.09745,31.754856,2019-06-20 20:24:00,5.8,,0.90000004,0
413837369,121.09544,31.768353,2019-06-20 20:32:00,6.4,,350.30002,0
413837369,121.09476000000001,31.773727,2019-06-20 20:36:00,6.7000003,,4.8,0
413837369,121.0975,31.785507,2019-06-20 20:42:00,6.4,,13.400001000000001,0
413837369,121.09804,31.78746,2019-06-20 20:52:00,1.1,511.0,206.2,15
