mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837369,121.09848000000001,31.787492999999998,2019-06-04 05:08:00,1.0,,16.7,0
413837369,121.09755,31.784874,2019-06-04 05:16:00,7.0,511.0,195.1,15
413837369,121.09525,31.7739,2019-06-04 05:20:00,8.400001,,181.40001,0
413837369,121.09478999999999,31.768127000000003,2019-06-04 05:24:00,8.1,,187.8,0
413837369,121.094025,31.75132,2019-06-04 05:30:00,8.8,,180.0,0
413837369,121.09415,31.744867,2019-06-04 05:34:00,9.0,0.0,177.0,0
413837369,121.09363,31.732327,2019-06-04 05:38:00,8.3,,192.8,0
