mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413888886,121.09624,31.762753000000004,2019-06-25 23:44:00,7.8,,176.90001,0
413888886,121.09641,31.760571999999996,2019-06-25 23:46:00,8.0,,175.7,0
413888886,121.097305,31.75362,2019-06-25 23:48:00,8.7,,163.3,0
413888886,121.09821000000001,31.750076,2019-06-25 23:50:00,8.1,,176.6,0
413888886,121.09688999999999,31.740913,2019-06-25 23:54:00,8.3,,187.1,0
413888886,121.0962,31.737406,2019-06-25 23:56:00,8.2,,189.6,0
413888886,121.094536,31.732020000000002,2019-06-25 23:58:00,7.5,,200.5,0
413888886,121.09183999999999,31.72653,2019-06-26 00:02:00,5.0,,223.7,0
413888886,121.09048,31.72557,2019-06-26 00:12:00,0.0,,218.7,0
