mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413888886,121.09656000000001,31.773233,2019-06-21 13:18:00,8.0,,168.40001,0
413888886,121.09713,31.769965999999997,2019-06-21 13:20:00,7.7000003,,176.5,0
413888886,121.09727,31.764646999999997,2019-06-21 13:22:00,7.5,,184.0,0
413888886,121.09658999999999,31.762787,2019-06-21 13:24:00,6.6,,205.6,0
413888886,121.09584,31.757576,2019-06-21 13:26:00,8.3,,179.7,0
413888886,121.09572,31.754177000000002,2019-06-21 13:28:00,8.0,,183.3,0
413888886,121.09695,31.74858,2019-06-21 13:30:00,7.5,,159.5,0
