mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837369,121.0983,31.78746,2019-05-31 22:22:00,0.0,,4.0,0
413837369,121.095375,31.7782,2019-05-31 22:34:00,7.0,0.0,198.0,0
413837369,121.09306000000001,31.771427000000003,2019-05-31 22:38:00,7.0,,187.7,0
413837369,121.09200000000001,31.763706,2019-05-31 22:42:00,7.1,,185.0,0
413837369,121.09128,31.751372999999997,2019-05-31 22:48:00,7.2000003,,182.40001,0
413837369,121.091225,31.744633,2019-05-31 22:52:00,6.0,0.0,182.0,0
413837369,121.09135,31.73578,2019-05-31 22:56:00,3.2,511.0,176.9,15
413837369,121.09101000000001,31.72918,2019-05-31 23:00:00,5.8,,176.90001,0
413837369,121.09163999999998,31.728327,2019-05-31 23:16:00,6.8,,357.6,0
