mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413888886,121.09133,31.729536,2019-06-23 17:30:00,6.4,,178.0,0
413888886,121.09285,31.730359999999997,2019-06-23 17:44:00,7.0,,21.5,0
413888886,121.09348999999999,31.732253999999998,2019-06-23 17:46:00,7.1,,9.0,0
413888886,121.09364,31.738986999999998,2019-06-23 17:48:00,6.9,,9.400001,0
413888886,121.09376999999999,31.73994,2019-06-23 17:50:00,6.9,,5.6,0
413888886,121.09468000000001,31.74573,2019-06-23 17:52:00,6.8,,18.6,0
413888886,121.09576000000001,31.750365999999996,2019-06-23 17:54:00,6.6,,6.6,0
413888886,121.09596,31.752256,2019-06-23 17:56:00,6.5,511.0,4.0,15
413888886,121.09630600000001,31.755879999999998,2019-06-23 17:58:00,6.4,,5.3,0
413888886,121.09700000000001,31.761213,2019-06-23 18:00:00,6.5,,3.4,0
413888886,121.09703999999999,31.763972999999996,2019-06-23 18:02:00,6.8,,356.5,0
413888886,121.096695,31.768,2019-06-23 18:04:00,6.9,,352.30002,0
