mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413888886,121.09106399999999,31.726066999999997,2019-06-22 19:42:00,3.4,,225.90001,0
413888886,121.09176000000001,31.727217,2019-06-22 19:54:00,5.9,,23.5,0
413888886,121.09301,31.731014000000002,2019-06-22 19:56:00,5.9,,2.1000001,0
413888886,121.09483999999999,31.740840000000002,2019-06-22 20:02:00,5.7000003,,8.400001,0
413888886,121.0956,31.745559999999998,2019-06-22 20:04:00,5.5,,6.1,0
413888886,121.09598500000001,31.748617,2019-06-22 20:06:00,5.5,,3.1000001,0
413888886,121.09621399999999,31.751686,2019-06-22 20:08:00,5.6,,5.7000003,0
