mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837367,121.09026000000001,31.725720000000003,2019-06-17 04:46:00,0.0,229.0,229.1,15
413837367,121.09376,31.731333000000003,2019-06-17 04:56:00,7.1,12.0,12.900001,0
413837367,121.09391000000001,31.7342,2019-06-17 04:58:00,6.5,353.0,353.2,0
413837367,121.09273999999999,31.737679999999997,2019-06-17 05:00:00,6.3,339.0,339.9,15
413837367,121.09131000000001,31.740847,2019-06-17 05:02:00,5.9,344.0,344.4,0
413837367,121.09116999999999,31.743427,2019-06-17 05:04:00,6.4,4.0,4.5,0
413837367,121.09281000000001,31.748920000000002,2019-06-17 05:06:00,6.9,16.0,16.1,15
413837367,121.09366599999998,31.751697999999998,2019-06-17 05:08:00,6.9,16.0,16.0,0
413837367,121.09438,31.7545,2019-06-17 05:10:00,6.9,10.0,10.8,15
413837367,121.09569499999999,31.76018,2019-06-17 05:12:00,6.8,6.0,5.4,0
413837367,121.09576000000001,31.762065999999997,2019-06-17 05:14:00,6.7000003,358.0,358.9,0
413837367,121.095375,31.766827000000003,2019-06-17 05:16:00,7.0,355.0,355.9,15
413837367,121.0954,31.771708,2019-06-17 05:18:00,7.1,8.0,8.5,0
413837367,121.09563,31.77269,2019-06-17 05:20:00,7.2000003,11.0,11.400001,15
413837367,121.095055,31.779026,2019-06-17 05:22:00,5.6,4.0,4.5,0
413837367,121.09575,31.780607,2019-06-17 05:24:00,6.5,21.0,21.7,0
413837367,121.09832,31.787373,2019-06-17 05:28:00,1.8000001,16.0,16.2,0
