mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837369,121.09028,31.725714,2019-06-12 23:22:00,0.0,,225.0,0
413837369,121.0919,31.732206,2019-06-12 23:28:00,7.7000003,,1.2,0
413837369,121.092545,31.74482,2019-06-12 23:34:00,7.3,,0.6,0
413837369,121.09189599999999,31.753453999999998,2019-06-12 23:38:00,7.5,,353.6,0
413837369,121.09136000000001,31.76084,2019-06-12 23:42:00,7.5,,358.0,0
413837369,121.095146,31.774076,2019-06-12 23:48:00,7.4,,11.400001,0
413837369,121.09666000000001,31.782047,2019-06-12 23:52:00,7.1,,9.5,0
413837369,121.09791000000001,31.786935999999997,2019-06-12 23:56:00,3.7,,16.6,0
