mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837369,121.090546,31.725634000000003,2019-06-24 11:32:00,0.0,,228.0,0
413837369,121.0924,31.740273,2019-06-24 11:46:00,6.2000003,,5.8,0
413837369,121.09516,31.749674,2019-06-24 11:52:00,6.1,,5.8,0
413837369,121.09697,31.759696999999996,2019-06-24 11:58:00,5.9,,9.2,0
413837369,121.096695,31.770236999999998,2019-06-24 12:04:00,6.5,,354.0,0
413837369,121.09741000000001,31.78475,2019-06-24 12:12:00,7.1,,20.9,0
413837369,121.09828,31.787487,2019-06-24 12:20:00,0.0,,23.9,0
