mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413888886,121.09048999999999,31.7256,2019-06-25 02:50:00,0.0,,223.2,0
413888886,121.09231000000001,31.728777,2019-06-25 02:58:00,6.9,,10.400001,0
413888886,121.09602,31.740187,2019-06-25 03:04:00,6.9,,24.6,0
413888886,121.09830500000001,31.743396999999998,2019-06-25 03:06:00,6.8,,32.0,0
413888886,121.09919,31.746059999999996,2019-06-25 03:08:00,6.6,,1.8000001,0
413888886,121.09886999999999,31.750763,2019-06-25 03:10:00,6.6,511.0,351.4,15
413888886,121.09782,31.757959999999997,2019-06-25 03:14:00,6.3,,355.30002,0
413888886,121.09668,31.768393,2019-06-25 03:20:00,7.2000003,,354.0,0
413888886,121.095055,31.776207,2019-06-25 03:24:00,6.8,,353.30002,0
413888886,121.09614599999999,31.780756,2019-06-25 03:26:00,6.8,,11.6,0
413888886,121.09723000000001,31.784536,2019-06-25 03:28:00,6.9,,15.8,0
413888886,121.09787,31.786946999999998,2019-06-25 03:30:00,3.8,,15.8,0
413888886,121.09808999999998,31.787527,2019-06-25 03:34:00,0.0,,16.4,0
