mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837369,121.0906,31.725665999999997,2019-06-08 11:22:00,0.0,,224.5,0
413837369,121.09381,31.740856,2019-06-08 11:38:00,6.2000003,,9.400001,0
413837369,121.09423999999999,31.749113,2019-06-08 11:44:00,5.6,,351.7,0
413837369,121.09434499999999,31.754168,2019-06-08 11:48:00,6.2000003,,19.6,0
413837369,121.094826,31.761776,2019-06-08 11:52:00,5.1,,350.2,0
413837369,121.09657,31.772496999999998,2019-06-08 12:02:00,6.3,,355.7,0
413837369,121.09525,31.779877000000003,2019-06-08 12:06:00,5.7000003,,21.0,0
413837369,121.09806999999999,31.7866,2019-06-08 12:10:00,3.5,,16.7,0
