mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413837367,121.09025600000001,31.73775,2019-06-23 22:10:00,6.5,353.0,354.4,0
413837367,121.09035,31.73958,2019-06-23 22:12:00,6.3,6.0,6.4,0
413837367,121.09128999999999,31.742079999999998,2019-06-23 22:14:00,6.5,22.0,22.0,0
413837367,121.0942,31.754596999999997,2019-06-23 22:20:00,6.4,8.0,8.0,0
413837367,121.09459,31.756429999999998,2019-06-23 22:22:00,6.4,9.0,9.8,0
413837367,121.09552,31.761640000000003,2019-06-23 22:24:00,6.2000003,6.0,7.0,0
413837367,121.09531000000001,31.7701,2019-06-23 22:30:00,6.9,359.0,359.4,0
413837367,121.09506999999999,31.773946999999996,2019-06-23 22:32:00,6.7000003,354.0,354.30002,0
413837367,121.09563999999999,31.780252,2019-06-23 22:34:00,6.2000003,17.0,17.7,0
413837367,121.0965,31.78286,2019-06-23 22:36:00,6.3,15.0,16.0,0
413837367,121.0972,31.784496,2019-06-23 22:38:00,6.5,20.0,20.300001,0
413837367,121.09787,31.78742,2019-06-23 22:40:00,1.4,8.0,8.5,0
413837367,121.09788999999999,31.787546000000003,2019-06-23 22:42:00,0.0,12.0,12.3,0
